Name; Adress; url 
Victoria Rufael; Niegolewskich 30, PoznańLEKARZ Prywatne Gabinety Lekarskie; https://www.znanylekarz.pl/victoria-rufael/fizjoterapeuta-terapeuta-specjalista-medycyny-naturalnej/poznan#address-id=[920086] 
mgr Adam Lebiotkowski; Ratajczaka 31/9, PoznańALfizjo Adam Lebiotkowski; https://www.znanylekarz.pl/adam-lebiotkowski/fizjoterapeuta/poznan#address-id=[896188] 
mgr Adam Kucharczyk; Niegolewskich 30, PoznańLEKARZ Prywatne Gabinety Lekarskie; https://www.znanylekarz.pl/adam-kucharczyk/fizjoterapeuta-terapeuta/poznan#address-id=[927017] 
Joanna Gierak; ul. Dąbrowskiego 81/85, PoznańPozmedica; https://www.znanylekarz.pl/joanna-gierak/fizjoterapeuta/poznan#address-id=[922649] 
mgr Natalia Hemmerling; Ul. Dworcowa 4B/1, SwarzędzGabinet Dietetyczny Natalia Hemmerling - Skin Medicineosiedle Rusa 54, PoznańGabinet Dietetyczny Natalia Hemmerling - Twój Gabinet (w pasażu handlowym); https://www.znanylekarz.pl/natalia-hemmerling/dietetyk-fizjoterapeuta/poznan#address-id=[916317,930186] 
mgr Izabella Malara; Obornicka 85 lok 204 Galeria Sucholeska 2piętro, Suchy LasLekarze SPECJALIŚCI; https://www.znanylekarz.pl/izabella-malara/fizjoterapeuta/suchy-las#address-id=[900330] 
Piotr Czarnecki; os. Wichrowe Wzgórze 33i/1, PoznańFIZJOSPORTS Osteopatia Fizjoterapia Piotr Czarnecki Osteopata; https://www.znanylekarz.pl/piotr-czarnecki-2/fizjoterapeuta-terapeuta-specjalista-medycyny-naturalnej/kutno#address-id=[877026] 
mgr Michał Nowak; Promienista 62, PoznańSMART THERAPY; https://www.znanylekarz.pl/michal-nowak-2/fizjoterapeuta/poznan#address-id=[284256] 
mgr Bartosz Żbik; Promienista 62, PoznańSMART THERAPY; https://www.znanylekarz.pl/bartosz-zbik/fizjoterapeuta-terapeuta/poznan#address-id=[273562] 
dr Mateusz W. Romanowski; Ul. Serafitek 11 (wyspa piekna), PoznańOSTEOPACI.com; https://www.znanylekarz.pl/mateusz-romanowski-2/fizjoterapeuta-terapeuta/kornik#address-id=[495478] 
Hanna Stróżniak; os. Rusa 54, PoznańRehaMedica Gabinet Rehabilitacji i Terapii Manualnej; https://www.znanylekarz.pl/hanna-strozniak/fizjoterapeuta/poznan#address-id=[925802] 
dr n. med. Małgorzata Chochowska; Plac Zielony 26, SwarzędzKORE Centrum Fizjoterapii Specjalistycznej; https://www.znanylekarz.pl/malgorzata-chochowska/fizjoterapeuta-terapeuta/poznan#address-id=[456620] 
Michał Nogaj; Niegolewskich 30, PoznańLEKARZ Prywatne Gabinety Lekarskie; https://www.znanylekarz.pl/michal-nogaj/fizjoterapeuta-specjalista-medycyny-naturalnej-terapeuta/poznan#address-id=[925554] 
mgr Mateusz Jezierski; Osiedle przyjaźni 142 (budynek administracji), PoznańLUX-MEDICA Gabinet Fizjoterapii i Rehabilitacji Medycznej; https://www.znanylekarz.pl/mateusz-jezierski/fizjoterapeuta-terapeuta/poznan#address-id=[458702] 
dr n. med. Marian Majchrzycki; ul. 28 Czerwca 1956r nr 135, PoznańCentrum Medyczne Stanley Poznań; https://www.znanylekarz.pl/marian-majchrzycki/fizjoterapeuta-terapeuta/poznan#address-id=[470366] 
dr Radosław Rutkowski; UL. K. LIBELTA 26/1, PoznańMARCUSMED; https://www.znanylekarz.pl/radoslaw-rutkowski/fizjoterapeuta/poznan#address-id=[903854] 
mgr Aleksandra Pustkowiak; Bliźniąt 12  C3, PoznańHimal-Centrum Terapii Dzieci; https://www.znanylekarz.pl/aleksandra-pustkowiak/fizjoterapeuta-terapeuta-diagnostyk/poznan#address-id=[906536] 
Agata Rutkowska; Obornicka 85 lok 204 Galeria Sucholeska 2piętro, Suchy LasLekarze SPECJALIŚCI; https://www.znanylekarz.pl/agata-rutkowska/fizjoterapeuta/suchy-las#address-id=[499721] 
mgr Małgorzata Bednarczuk; Obornicka 85 lok 204 Galeria Sucholeska 2piętro, Suchy LasLekarze SPECJALIŚCI; https://www.znanylekarz.pl/malgorzata-bednarczuk/fizjoterapeuta/suchy-las#address-id=[924139] 
mgr Konrad Marciniak; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18; https://www.znanylekarz.pl/konrad-marciniak/fizjoterapeuta/poznan#address-id=[915701] 
Jacek Daleszyński; ul. Źródlana 11a, PoznańMEDI_SPA Jacek Daleszyński; https://www.znanylekarz.pl/jacek-daleszynski/fizjoterapeuta-diagnostyk-terapeuta/poznan#address-id=[914786] 
Marcin Zielonka; Mogileńska 4, PoznańPraktyka Specjalistyczna; https://www.znanylekarz.pl/marcin-zielonka/fizjoterapeuta-terapeuta/poznan#address-id=[412330] 
mgr Jacek Kalkstein; Promienista 62, PoznańSMART THERAPY; https://www.znanylekarz.pl/jacek-kalkstein/fizjoterapeuta-terapeuta/poznan#address-id=[844880] 
mgr Damian Słowiński; Lusowo ul.Wierzbowa 2, Tarnowo PodgórneCentrum Rehabilitacji REHAstrefa; https://www.znanylekarz.pl/damian-slowinski/fizjoterapeuta/tarnowo-podgorne#address-id=[877690] 
mgr Paulina Stępniak; Niegolewskich 30, PoznańLEKARZ Prywatne Gabinety Lekarskie; https://www.znanylekarz.pl/paulina-stepniak/fizjoterapeuta-terapeuta-specjalista-medycyny-naturalnej/poznan#address-id=[920802] 
mgr Monika Sroka; Forsycjowa 2c/9, KomornikiGabinet Fizjoterapeutyczny; https://www.znanylekarz.pl/monika-sroka/fizjoterapeuta/komorniki#address-id=[921592] 
mgr Maciej Dąbrowski; Zagajnikowa 9, PoznańDM Fizjoterapia. Gabinet fizjoterapii i rehabilitacji.Jana Henryka Dąbrowskiego 77a, PoznańMotiMed Gabinety Lekarskie Nobel Tower; https://www.znanylekarz.pl/maciej-dabrowski/fizjoterapeuta-terapeuta/poznan#address-id=[925629,908240] 
Szymon Sekulski; Gniewska 16, PoznańFizjoterapia Szymon Sekulski; https://www.znanylekarz.pl/szymon-sekulski/fizjoterapeuta-diagnostyk-terapeuta/poznan#address-id=[919426] 
mgr Marcin Kaźmierak; ul. Dąbrowskiego 81/85, PoznańPozmedica; https://www.znanylekarz.pl/marcin-kazmierak/fizjoterapeuta/poznan#address-id=[905064] 
mgr Roman Kozłowski; Rakoniewicka 23 A, PoznańKlinika Art-Medica; https://www.znanylekarz.pl/roman-kozlowski-2/fizjoterapeuta/poznan#address-id=[836572] 
mgr Radosław Frydrychowicz; Os. Wichrowe Wzgórze 22S/1, PoznańRadFizjo Gabinet Fizjoterapii i Masażu; https://www.znanylekarz.pl/radoslaw-frydrychowicz/fizjoterapeuta-terapeuta/poznan#address-id=[916071] 
mgr Karolina Wełniak; Szarotkowa 55, PoznańCentrum Terapii Asemi; https://www.znanylekarz.pl/karolina-welniak/fizjoterapeuta/jerzykowo#address-id=[904144] 
mgr Marcin Haliński; Osiedle Bolesława Śmiałego 36, PoznańOMT CENTER dr M. Grześkowiakos. Stefana Batorego, Poznań"Fizjo-Hand" Marcin Haliński wizyty domowe; https://www.znanylekarz.pl/marcin-halinski/fizjoterapeuta-terapeuta/poznan#address-id=[878054,924859] 
mgr Przemysław Jeziorski; Jackowskiego 33/1, PoznańPhysioArt Fizjoterapia Przemysław Jeziorski; https://www.znanylekarz.pl/przemyslaw-jeziorski/fizjoterapeuta-terapeuta-diagnostyk/poznan#address-id=[842642] 
mgr Robert Hetman; Kasprzaka 16, pok. 235 (wejście C od ul. Stablewskiego), PoznańRehaKinesio - Gabinet Rehabilitacji i Terapii Manualnej; https://www.znanylekarz.pl/robert-hetman/fizjoterapeuta-terapeuta/poznan#address-id=[863180] 
mgr Rafał Budziński; os Rusa 54, 61-245 Poznań, PoznańOSTEOART Rafał Budziński; https://www.znanylekarz.pl/rafal-budzinski/fizjoterapeuta/poznan#address-id=[921306] 
dr Marcin Grześkowiak; Osiedle Bolesława Śmiałego 36, PoznańOMT CENTER dr M. Grześkowiak; https://www.znanylekarz.pl/marcin-grzeskowiak/fizjoterapeuta-terapeuta/poznan#address-id=[511174] 
Mateusz Popielarski; Lawendowa 48, PoznańMassage Popielarski & Partners; https://www.znanylekarz.pl/mateusz-popielarski/fizjoterapeuta/poznan#address-id=[459820] 
mgr Maciej Maliński; Grochowska 9, PoznańGabinety Lekarskie Grochowska 9Kossaka 4, PoznańLEKARZ Prywatne Gabinety Lekarskie; https://www.znanylekarz.pl/maciej-malinski/fizjoterapeuta-terapeuta/poznan#address-id=[920327,929179] 
mgr Michał Wojtkowiak; Starowiejska 1i /1, PoznańGABINET OSTEOPATII I REHABILITACJI  - GABINETY LEKARSKIE; https://www.znanylekarz.pl/michal-wojtkowiak/fizjoterapeuta-terapeuta/poznan#address-id=[418556] 
mgr Marek Barłożek; Franklina Roosevelta 18, PoznańCentrum Medyczne LUX MED – Poznań, ul. Roosevelta 18Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18; https://www.znanylekarz.pl/marek-barlozek/fizjoterapeuta/poznan#address-id=[864434,895226] 
mgr Emilia Kubicka; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18Franklina Roosevelta 18, PoznańCentrum Medyczne LUX MED – Poznań, ul. Roosevelta 18; https://www.znanylekarz.pl/emilia-kubicka/fizjoterapeuta/poznan#address-id=[864618,864616] 
mgr Łukasz Czywczyński; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18; https://www.znanylekarz.pl/lukasz-czywczynski/fizjoterapeuta/poznan#address-id=[906562] 
mgr Marta Banaszak; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18Franklina Roosevelta 18, PoznańCentrum Medyczne LUX MED – Poznań, ul. Roosevelta 18; https://www.znanylekarz.pl/marta-banaszak-2/fizjoterapeuta/poznan#address-id=[864614,864612] 
mgr Ewa Ryś; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18; https://www.znanylekarz.pl/ewa-rys-2/fizjoterapeuta/poznan#address-id=[864624] 
mgr Aneta Kutkowska; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18Franklina Roosevelta 18, PoznańCentrum Medyczne LUX MED – Poznań, ul. Roosevelta 18; https://www.znanylekarz.pl/aneta-kutkowska/fizjoterapeuta/poznan#address-id=[864630,864628] 
mgr Marcin Szumiło; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18Franklina Roosevelta 18, PoznańCentrum Medyczne LUX MED – Poznań, ul. Roosevelta 18; https://www.znanylekarz.pl/marcin-szumilo/fizjoterapeuta/wroclaw#address-id=[864626,864622] 
mgr Dominik Kupka; Franklina Roosevelta 18, PoznańCentrum Medyczne Grupa LUX MED – Poznań,  ul. Roosevelta 18; https://www.znanylekarz.pl/dominik-kupka-2/fizjoterapeuta/poznan#address-id=[872144] 
dr Łukasz Czubaszewski; Obornicka 85 lok 204 Galeria Sucholeska 2piętro, Suchy LasLekarze SPECJALIŚCIObornicka 85 lok 204 Galeria Sucholeska 2piętro 62-002, Suchy Las, wielkopolskie, PoznańLekarze SPECJALIŚCI; https://www.znanylekarz.pl/lukasz-czubaszewski/fizjoterapeuta/suchy-las#address-id=[864714,882052] 
mgr Dominik Kupka; Piaski 8, SwarzędzZespół Przychodni Lekarza Rodzinnego Diagter; https://www.znanylekarz.pl/dominik-kupka/fizjoterapeuta/swarzedz#address-id=[518258] 
mgr Mateusz Milanowski; Stawna 6, PlewiskaGabinet Rehabilitacji, Terapii Manualnej i Terapii NaturalnejUL. K. LIBELTA 26/1, PoznańMARCUSMED; https://www.znanylekarz.pl/mateusz-milanowski/fizjoterapeuta-terapeuta/poznan#address-id=[870362,910481] 
Aleksandra Kaczmarek; ul. Kajki 14, PoznańGabinet Fizjoterapii Centrum Ruchu BODYWORK; https://www.znanylekarz.pl/aleksandra-kaczmarek-3/fizjoterapeuta/poznan#address-id=[438360] 
mgr Mateusz Markiewicz; ul. Kolejowa 35, PlewiskaManual ClinicDąbrowskiego 77A, Nobel Tower, PoznańKlinika Bocian Poznań; https://www.znanylekarz.pl/mateusz-markiewicz/fizjoterapeuta/poznan#address-id=[396672,484214] 
Tomasz Stodolski; Źródlana 11A, PoznańMEDI_SPA; https://www.znanylekarz.pl/tomasz-stodolski/fizjoterapeuta-diagnostyk-specjalista-medycyny-naturalnej/poznan#address-id=[926872] 
mgr Tomasz Paprzycki; Krzywoustego 72, PoznańAETERNA Klinika Rehabilitacji Kolagenowej i Dermatologii; https://www.znanylekarz.pl/tomasz-paprzycki/fizjoterapeuta/poznan#address-id=[846984] 
mgr Ariel Wiśniewski; Ułańska 7, PoznańPROFEMED PoznańFranklina Roosevelta 18, PoznańCentrum Medyczne LUX MED – Poznań, ul. Roosevelta 18; https://www.znanylekarz.pl/ariel-wisniewski/fizjoterapeuta/poznan#address-id=[832608,863948] 
dr Jacek Wieczorek; Szamarzewskiego 2/3, PoznańREHA-HELP J.&P. Wieczorek Rehabilitacja Medyczna, Masaż Leczniczy – Poznań; https://www.znanylekarz.pl/jacek-wieczorek-3/fizjoterapeuta-terapeuta/poznan#address-id=[133672] 
dr Maria Szymczak; Literacka 43 H/ 2, PoznańFizjo-HelpPoznańska, PoznańMedic-R Specjalistyczne Gabinety Lekarskie; https://www.znanylekarz.pl/maria-szymczak-2/fizjoterapeuta/poznan#address-id=[379686,906804] 
Maciej Wilkanowski; Źródlana 17/15, PoznańWILMEDICA; https://www.znanylekarz.pl/maciej-wilkanowski/fizjoterapeuta/poznan#address-id=[260458] 
Przemysław Rybczyński; JUGOSŁOWIAŃSKA 49, PoznańGabinet Terapii Naturalnych Chiropraktyki Kręgosłupa w Poznaniu - Przemysław Rybczyński; https://www.znanylekarz.pl/przemyslaw-rybczynski/fizjoterapeuta-specjalista-medycyny-naturalnej/poznan#address-id=[282336] 
